id,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge
31,IL,142,415, 416-8428, no, no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83
32,NH,75,510, 370-3359, no, no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78
34,AZ,12,408, 360-1596, no, no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19
35,OK,57,408, 395-2854, no, yes,25,176.8,94,30.06,195,75,16.58,213.5,116,9.61,8.3,4,2.24
36,GA,72,415, 362-1407, no, yes,37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97
42,MD,135,408, 383-6029, yes, yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94
45,WI,64,510, 352-1237, no, no,0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95
48,DE,142,408, 364-1995, no, no,0,187,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2
51,IA,52,408, 413-4957, no, no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11
52,IN,60,408, 420-5645, no, no,0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84
53,VA,10,408, 349-4396, no, no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08
54,UT,96,415, 404-3211, no, no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51
56,IN,81,408, 363-5947, no, no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75
57,CO,141,415, 340-5121, no, no,0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16
58,CO,121,408, 370-7574, no, yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57
59,WI,68,415, 403-9733, no, no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27
62,CA,116,415, 405-3371, no, yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13
63,MN,74,510, 344-5117, no, yes,33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94
64,SD,149,408, 332-8160, no, yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4
65,NC,38,408, 359-4081, no, no,0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21
67,WY,43,415, 329-9847, yes, no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51
68,MN,113,408, 365-9011, yes, no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24
69,UT,126,408, 338-9472, no, no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11
70,TX,150,510, 374-8042, no, no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73
71,NJ,138,408, 359-1231, no, no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19
72,MN,162,510, 413-7170, no, yes,46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27
73,NM,147,510, 415-2935, no, no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16
76,MN,50,415, 350-8921, no, no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65
77,DC,82,415, 374-5353, no, no,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16
78,NY,144,408, 360-1171, no, no,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21
80,MD,70,408, 333-1967, no, no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05
82,OR,116,415, 331-7425, yes, no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4
87,IN,94,408, 402-1251, no, no,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16
88,WV,111,510, 412-9997, no, no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24
89,KY,74,415, 346-7302, no, yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94
90,NJ,128,415, 358-9095, no, no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75
92,LA,155,415, 334-1275, no, no,0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4
94,ME,78,415, 400-9510, no, no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57
95,AZ,90,415, 387-6103, no, no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86
97,MT,73,415, 370-3450, no, no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51
98,AZ,99,415, 327-3954, no, no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35
99,MS,120,408, 355-6291, no, no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43
100,ID,77,415, 362-9748, no, no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65
101,IA,98,510, 379-6506, no, yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19
103,VT,135,415, 354-3783, no, no,0,151.7,82,25.79,119,105,10.12,180,100,8.1,10.5,6,2.84
104,KY,95,408, 401-7594, no, no,0,135,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38
105,IN,122,408, 397-4976, no, no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05
107,MI,36,510, 400-3637, no, yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43
108,NM,93,510, 383-4361, no, yes,21,117.9,131,20.04,164.5,115,13.98,217,86,9.76,9.8,3,2.65
109,CO,141,415, 371-4306, no, yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73
110,UT,157,408, 403-4298, no, no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59
111,MI,120,408, 409-3786, no, no,0,165,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24
113,AL,98,408, 383-1509, no, no,0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27
114,DE,125,408, 359-9794, no, no,0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59
115,AZ,63,415, 407-7035, no, no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54
116,ME,36,510, 363-1069, yes, yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4
117,NJ,64,510, 391-4652, no, no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83
118,NV,74,415, 355-6837, no, no,0,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54
120,ID,97,408, 328-3266, no, no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35
121,NE,46,408, 352-7072, no, no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54
122,TX,41,408, 370-7550, no, yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94
125,NV,130,510, 408-4195, no, no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48
128,MS,61,510, 414-8718, no, yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73
129,TX,92,408, 409-5939, no, no,0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48
130,NE,131,408, 331-4902, no, yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57
131,NE,90,415, 353-6870, no, no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94
133,NJ,78,415, 390-6101, no, no,0,231,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57
134,TX,82,408, 400-3446, no, no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92
135,AR,163,408, 411-5859, no, no,0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46
136,AL,91,510, 387-2919, yes, no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02
137,NY,75,415, 374-8525, no, yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43
139,AK,127,510, 345-8237, no, yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02
142,MD,120,415, 374-3534, no, yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84
143,MI,157,415, 381-4756, no, yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84
144,VT,103,510, 390-2805, no, no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16
145,VT,117,408, 390-2390, yes, no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81
146,MI,140,415, 419-9097, no, no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86
147,WA,127,408, 386-7281, no, no,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7
148,UT,83,408, 380-3561, yes, no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16
149,LA,121,408, 390-8760, no, no,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3
151,IA,113,408, 395-5285, no, no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86
152,NE,117,415, 354-3436, no, no,0,102.8,119,17.48,206.7,91,17.57,299,105,13.46,10.1,7,2.73
153,OH,65,408, 336-7600, no, no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03
154,RI,56,415, 383-6293, no, no,0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86
155,OK,96,415, 362-4596, no, no,0,260.4,115,44.27,146,46,12.41,269.5,87,12.13,11.5,4,3.11
157,OH,83,415, 370-9116, no, no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27
158,VA,139,510, 328-6289, no, yes,23,157.6,129,26.79,247,96,21,259.2,112,11.66,13.7,2,3.7
159,MO,6,510, 350-9994, no, no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75
165,OK,146,415, 335-4584, no, no,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65
166,DE,92,415, 361-9845, no, yes,33,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27
167,GA,185,510, 366-5699, no, yes,31,189.8,126,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03
168,DC,148,415, 329-9364, no, no,0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94
169,AZ,94,408, 390-7434, no, yes,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46
170,AL,32,510, 404-9680, no, no,0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7
171,CO,68,408, 338-9398, no, no,0,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56
174,OR,65,415, 397-5060, no, no,0,116.8,87,19.86,178.9,93,15.21,182.4,150,8.21,14.1,2,3.81
176,NE,94,415, 377-1765, no, no,0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3
177,MN,62,415, 409-2111, no, no,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29
178,MI,127,415, 401-3170, no, no,0,202.1,103,34.36,229.4,86,19.5,195.2,113,8.78,11.5,3,3.11
179,AR,116,408, 405-5681, no, no,0,173.5,93,29.5,194.1,76,16.5,208,112,9.36,16.2,10,4.37
180,KS,70,408, 411-4582, no, no,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,0,0,0
181,WV,94,510, 355-5009, yes, yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57
182,AK,126,415, 372-3750, no, no,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21
184,NH,19,408, 361-3337, no, no,0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94
187,NY,106,408, 422-1471, no, no,0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75
188,AZ,93,415, 399-7865, no, no,0,271.6,71,46.17,229.4,108,19.5,77.3,121,3.48,10.9,3,2.94
189,WY,164,510, 373-4819, no, no,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43
190,WA,51,408, 338-6981, no, no,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46
191,CO,107,415, 418-4365, no, no,0,133.8,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4,2.4
192,TX,130,415, 359-5461, no, no,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57
193,KY,80,408, 375-3586, no, no,0,209.9,74,35.68,195.1,77,16.58,208.2,119,9.37,8.8,4,2.38
194,MT,94,415, 407-8376, no, no,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62
197,TN,78,415, 332-6934, no, no,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62
199,ME,131,510, 353-7292, yes, yes,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73
200,DC,63,408, 399-6786, no, no,0,83,64,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51
201,MN,53,415, 358-3261, no, yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54
203,MD,97,415, 397-4030, no, no,0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73
204,MI,105,510, 367-1062, no, no,0,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84
205,WA,157,415, 341-8467, no, no,0,152.7,105,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54
206,MO,66,415, 339-9453, no, yes,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27
207,IN,122,415, 344-3388, no, no,0,243.8,98,41.45,83.9,72,7.13,179.8,84,8.09,13.7,8,3.7
208,OR,38,415, 375-8013, no, no,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92
209,MD,106,510, 408-4142, no, no,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29
210,RI,99,510, 386-3671, no, no,0,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27
212,AZ,144,510, 346-7795, yes, no,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21
214,AZ,86,408, 405-1842, no, yes,31,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29
215,FL,70,510, 366-6345, yes, no,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75
216,LA,93,415, 337-9345, no, no,0,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11
217,FL,93,415, 328-6770, no, no,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94
220,AL,106,415, 356-1567, no, no,0,223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92
221,WA,81,415, 422-6685, no, no,0,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29
222,TN,127,408, 336-1090, no, yes,22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75
224,ME,35,408, 345-3934, no, no,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4
227,MO,123,415, 402-6591, no, no,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08
228,IA,126,408, 403-6419, no, yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59
229,VA,104,415, 386-9790, no, yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59
231,MD,93,408, 360-3324, yes, no,0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84
232,OH,63,415, 410-3719, yes, yes,36,199,110,33.83,291.3,111,24.76,197.6,92,8.89,11,6,2.97
233,OK,100,415, 352-4221, no, no,0,203.1,96,34.53,217,126,18.45,180.9,122,8.14,13.5,2,3.65
234,NV,53,415, 327-6179, no, no,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94
235,ID,92,415, 359-6196, yes, no,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9,5,2.43
237,SD,110,408, 357-4078, no, yes,40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9,9,2.43
238,IL,110,408, 366-5780, no, no,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65
239,WY,215,510, 393-9619, no, no,0,83.6,148,14.21,120.9,91,10.28,226.6,110,10.2,10.7,9,2.89
240,AL,73,415, 355-9295, no, no,0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54
241,NJ,138,510, 400-5751, no, no,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48
243,IN,36,415, 405-8867, no, no,0,253.4,77,43.08,182.4,151,15.5,275.8,103,12.41,8.4,2,2.27
244,WV,85,408, 336-5616, no, no,0,225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92
245,VA,108,408, 335-1697, no, no,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54
246,SC,22,408, 331-5138, no, no,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57
248,IN,51,510, 348-1359, no, no,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,10.2,5,2.75
249,AZ,94,408, 354-7339, no, no,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,9.2,2,2.48
250,NM,119,510, 349-1687, no, yes,23,154,114,26.18,278,137,23.63,228.4,112,10.28,11.8,4,3.19
251,OR,33,415, 380-2558, no, yes,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75
252,NJ,106,415, 365-2153, no, no,0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89
254,MI,86,510, 349-2808, no, yes,41,119,101,20.23,230,134,19.55,236.9,58,10.66,9.5,3,2.57
257,DC,108,510, 377-7177, no, no,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65
261,MN,24,510, 396-4460, no, yes,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81
262,IL,151,408, 334-2730, no, no,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16
263,NM,117,415, 340-3182, no, no,0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11
267,RI,114,510, 411-9554, no, yes,28,225.8,94,38.39,193,117,16.41,232.4,100,10.46,8.4,9,2.27
268,NH,119,408, 420-3192, no, no,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,3.65
269,MO,64,510, 389-1475, no, yes,48,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22
271,PA,101,415, 410-3390, no, no,0,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94
272,OK,117,415, 344-6495, no, no,0,134.7,121,22.9,180,83,15.3,200.9,104,9.04,7.7,3,2.08
273,AL,49,415, 331-6229, no, yes,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8,13,2.16
276,WA,83,415, 369-4384, no, no,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65
280,VT,146,510, 355-4842, yes, no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84
281,MT,143,415, 387-6440, no, no,0,172.3,97,29.29,174,108,14.79,188.2,119,8.47,13,4,3.51
283,AK,48,415, 389-7073, no, yes,37,211.7,115,35.99,159.9,84,13.59,144.1,80,6.48,12.2,1,3.29
284,MI,86,415, 370-8463, no, yes,28,221.6,74,37.67,288.4,100,24.51,240.3,105,10.81,9,2,2.43
287,MI,137,510, 355-9508, no, no,0,206.4,122,35.09,128,102,10.88,194.5,84,8.75,8.8,5,2.38
288,KS,137,408, 352-8202, no, no,0,205.9,88,35,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92
289,AL,167,510, 335-5882, no, no,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81
290,OK,89,510, 352-6976, no, no,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43
291,CT,199,415, 393-6733, no, yes,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8,2,2.16
292,NE,132,510, 335-1838, no, no,0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62
293,WI,94,510, 355-6930, no, no,0,177.1,112,30.11,194,112,16.49,146.7,108,6.6,5.9,4,1.59
297,DC,74,415, 371-1514, no, no,0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73
298,AR,36,415, 346-9317, no, no,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21
299,ME,113,415, 398-4313, no, no,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78
300,MN,94,415, 412-4399, no, no,0,181.5,98,30.86,199.9,88,16.99,287.7,114,12.95,6.6,5,1.78
304,IA,158,415, 360-6868, no, no,0,158,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46
305,AZ,136,510, 405-6641, no, no,0,92,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78
307,VT,113,415, 419-1714, no, no,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3
308,IN,122,408, 336-3819, no, no,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08
309,RI,112,510, 341-3464, no, no,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08
311,MN,62,415, 366-7912, no, no,0,248.7,109,42.28,220,118,18.7,265.7,78,11.96,13.2,2,3.56
312,TX,110,415, 399-8845, no, yes,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62
313,VA,16,510, 368-2583, no, no,0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94
314,MA,73,408, 360-6309, no, no,0,94.1,136,16,280.3,122,23.83,205,77,9.23,9.8,4,2.65
315,ID,128,408, 359-5890, no, no,0,125.2,99,21.28,205.4,107,17.46,254.4,111,11.45,18.9,2,5.1
318,RI,119,415, 329-3222, no, yes,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,7.6,3,2.05
320,SD,128,510, 413-9269, yes, yes,32,223.5,81,38,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54
321,MA,86,510, 330-7483, no, no,0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67
322,WY,114,415, 403-7775, no, yes,32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48
323,VA,104,408, 360-2479, no, no,0,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10,3,2.7
324,OR,148,415, 394-3791, no, no,0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05
325,VA,129,408, 384-2632, no, no,0,207,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62
326,ME,100,510, 359-8466, no, yes,30,58.8,104,10,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92
328,GA,143,408, 359-5160, no, yes,33,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57
330,AZ,158,510, 362-2314, no, no,0,205.2,97,34.88,240.6,77,20.45,79.7,108,3.59,14.4,12,3.89
332,MT,54,415, 387-5453, no, no,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,9.5,2,2.57
333,AL,86,415, 380-3437, no, no,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29
334,DE,108,510, 365-8779, no, no,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51
335,MT,66,510, 407-2750, no, no,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03
338,WA,55,415, 333-2611, no, no,0,194.1,121,33,176.6,110,15.01,302.8,136,13.63,7,7,1.89
340,AK,78,408, 336-5406, no, no,0,225.1,67,38.27,199.2,127,16.93,175.5,102,7.9,14.6,2,3.94
341,GA,89,415, 343-6940, no, no,0,213,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46
342,MN,101,415, 361-9923, no, no,0,183.9,115,31.26,255.9,101,21.75,275,145,12.38,10.8,11,2.92
